Binomial,Chromosome_num,species_group,chromosome_group,not_in_Leache_et_al_2016,why_not,insular_endemic,Max_SVL,Size_guild,chromosomally_diverse_clade,in_Rivera_et_al,in_GARD
Sceloporus acanthinus,22,formosus,form-spin-und,,,F,99,medium,TRUE,FALSE,TRUE
Sceloporus adleri,22,formosus,form-spin-und,,,F,78.8,medium,TRUE,TRUE,TRUE
Sceloporus aeneus,24,scalaris,scalaris,,,F,62.8,small,TRUE,TRUE,TRUE
Sceloporus albiventris,,spinosus,form-spin-und,x,?ssp of horridus,F,102,large,TRUE,FALSE,TRUE
Sceloporus anahuacus,,grammicus,grammicus-F6,,,F,54,small,TRUE,FALSE,TRUE
Sceloporus angustus,34,angustus,basal,,,T,101,large,FALSE,FALSE,TRUE
Sceloporus arenicolus,30,graciosus,graciosus,,,F,70,small,TRUE,TRUE,TRUE
Sceloporus asper,31,grammicus,asper,,,F,81,medium,TRUE,FALSE,TRUE
Sceloporus aurantius,24,scalaris,scalaris,,,F,55,small,TRUE,FALSE,TRUE
Sceloporus aureolus,32,poinsettii,torquatus,,,F,101.2,large,TRUE,FALSE,TRUE
Sceloporus becki,,undulatus,form-spin-und,x,?ssp of occidentalis,T,70,small,TRUE,FALSE,TRUE
Sceloporus bicanthalis,24,scalaris,scalaris,,,F,62,small,TRUE,TRUE,TRUE
Sceloporus bimaculosus,26,magister,mag-26,,,F,140,large,TRUE,FALSE,TRUE
Sceloporus brownorum,,,,,,,,,FALSE,FALSE,FALSE
Sceloporus bulleri,32,torquatus,torquatus,,,F,116,large,TRUE,TRUE,TRUE
Sceloporus caeruleus,,poinsettii,torquatus,x,?ssp of ornatus,F,75,medium,TRUE,FALSE,TRUE
Sceloporus carinatus,34,angustus,basal,,,F,80,medium,FALSE,TRUE,TRUE
Sceloporus cautus,22,undulatus,form-spin-und,,,F,89,medium,TRUE,TRUE,TRUE
Sceloporus chaneyi,24,scalaris,scalaris,,,F,57,small,TRUE,FALSE,TRUE
Sceloporus chrysostictus,34,variabilis,basal,,,F,62,small,FALSE,TRUE,TRUE
Sceloporus clarkii,40,clarkii,clarkii,,,F,144,large,TRUE,TRUE,TRUE
Sceloporus consobrinus,22,undulatus,form-spin-und,,,F,78.8,medium,TRUE,TRUE,TRUE
Sceloporus couchii,34,variabilis,basal,,,F,64,small,FALSE,TRUE,TRUE
Sceloporus cowlesi,22,undulatus,form-spin-und,,,F,80,medium,TRUE,TRUE,TRUE
Sceloporus cozumelae,34,variabilis,basal,not sampled,,F,60,small,FALSE,FALSE,TRUE
Sceloporus cryptus,22,formosus,form-spin-und,,,F,76.6,medium,TRUE,TRUE,TRUE
Sceloporus cupreus,,siniferus,basal,not sampled,,F,52,small,FALSE,FALSE,TRUE
Sceloporus cyanogenys,32,poinsettii,torquatus,,,F,148,large,TRUE,TRUE,TRUE
Sceloporus cyanostictus,32,poinsettii,torquatus,,,F,80.4,medium,TRUE,FALSE,TRUE
Sceloporus druckercolini,22,formosus,form-spin-und,,,F,97.5,medium,TRUE,FALSE,TRUE
Sceloporus dugesii,32,poinsettii,torquatus,,,F,88,medium,TRUE,TRUE,TRUE
Sceloporus edbelli,,,,x,"?ssp of undulatus, cowlesi, or consobrinus",F,77,medium,FALSE,FALSE,TRUE
Sceloporus edwardtaylori,22,spinosus,form-spin-und,,,F,107,large,TRUE,TRUE,TRUE
