Focalspecies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adleri,formosus,grammicus,horridus,mucronatus,scitulus,siniferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeneus,ochoterenae,scalaris,pyrocephalus,bicanthalis,dugesii,heterolepis,grammicus,gadoviae,parvus,horridus,mucronatus,spinosus,microlepidotus,torquatus,melanorhinus,variabilis,palaciosi,,,,,,,,,,,,,,,,,,,,,,,,,,,
arenicolus,consobrinus,cowlesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicanthalis,formosus,scalaris,serrifer,cryptus,aeneus,grammicus,siniferus,parvus,horridus,torquatus,spinosus,microlepidotus,mucronatus,megalepidurus,variabilis,palaciosi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulleri,clarkii,scalaris,dugesii,insignis,heterolepis,grammicus,horridus,torquatus,jarrovii,microlepidotus,nelsoni,melanorhinus,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carinatus,taeniocnemis,serrifer,squamosus,siniferus,smaragdinus,teapensis,melanorhinus,smithi,variabilis,internasalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cautus,cowlesi,scalaris,serrifer,consobrinus,minor,grammicus,ornatus,parvus,torquatus,spinosus,microlepidotus,olivaceus,cyanogenys,variabilis,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrysostictus,serrifer,teapensis,variabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarkii,cowlesi,bulleri,magister,scalaris,consobrinus,tristichus,horridus,slevini,spinosus,jarrovii,nelsoni,melanorhinus,poinsettii,virgatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consobrinus,nelsoni,cautus,cowlesi,magister,serrifer,couchii,undulatus,merriami,torquatus,microlepidotus,olivaceus,poinsettii,cyanogenys,variabilis,clarkii,minor,ornatus,grammicus,tristichus,graciosus,arenicolus,parvus,horridus,slevini,jarrovii,maculosus,virgatus,,,,,,,,,,,,,,,,,
couchii,cowlesi,scalaris,serrifer,consobrinus,minor,grammicus,ornatus,parvus,merriami,spinosus,microlepidotus,torquatus,olivaceus,cyanogenys,variabilis,poinsettii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cowlesi,clarkii,magister,couchii,consobrinus,ornatus,grammicus,poinsettii,tristichus,parvus,slevini,merriami,jarrovii,olivaceus,arenicolus,cyanogenys,virgatus,cautus,,,,,,,,,,,,,,,,,,,,,,,,,,,
